0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,0
8.25,0
8.5,0
8.75,0
9,0
9.25,0
9.5,0
9.75,0
10,0
10,0
10.25,0.25
10.5,0.5
10.75,0.75
11,1
11.25,1.25
11.5,1.5
11.75,1.75
12,2
12.25,2.25
12.5,2.5
12.75,2.75
13,3
13.25,3.25
13.5,3.5
13.75,3.75
14,4
14.25,4.25
14.5,4.5
14.75,4.75
15,5
15.25,5.25
15.5,5.5
15.75,5.55555555555556
16,5.55555555555556
16.25,5.55555555555556
16.5,5.55555555555556
16.75,5.55555555555556
17,5.55555555555556
17.25,5.55555555555556
17.5,5.55555555555556
17.75,5.55555555555556
18,5.55555555555556
18.25,5.55555555555556
18.5,5.55555555555556
18.75,5.55555555555556
19,5.55555555555556
19.25,5.55555555555556
19.5,5.55555555555556
19.75,5.55555555555556
20,5.55555555555556
20.25,5.55555555555556
20.5,5.55555555555556
20.75,5.55555555555556
21,5.55555555555556
21.25,5.55555555555556
21.5,5.55555555555556
21.75,5.55555555555556
22,5.55555555555556
22.25,5.55555555555556
22.5,5.55555555555556
22.75,5.55555555555556
23,5.55555555555556
23.25,5.55555555555556
23.5,5.55555555555556
23.75,5.55555555555556
24,5.55555555555556
24.25,5.55555555555556
24.5,5.55555555555556
24.75,5.55555555555556
25,5.55555555555556
25.25,5.55555555555556
25.5,5.55555555555556
25.75,5.55555555555556
26,5.55555555555556
26.25,5.55555555555556
26.5,5.55555555555556
26.75,5.55555555555556
27,5.55555555555556
27.25,5.55555555555556
27.5,5.55555555555556
27.75,5.55555555555556
28,5.55555555555556
28.25,5.55555555555556
28.5,5.55555555555556
28.75,5.55555555555556
29,5.55555555555556
29.25,5.55555555555556
29.5,5.55555555555556
29.75,5.55555555555556
30,5.55555555555556
30.25,5.55555555555556
30.5,5.55555555555556
30.75,5.55555555555556
31,5.55555555555556
31.25,5.55555555555556
31.5,5.55555555555556
31.75,5.55555555555556
32,5.55555555555556
32.25,5.55555555555556
32.5,5.55555555555556
32.75,5.55555555555556
33,5.55555555555556
33.25,5.55555555555556
33.5,5.55555555555556
33.75,5.55555555555556
34,5.55555555555556
34.25,5.55555555555556
34.5,5.5
34.75,5.25
35,5
35.25,4.75
35.5,4.5
35.75,4.25
36,4
36.25,3.75
36.5,3.5
36.75,3.25
37,3
37.25,2.75
37.5,2.5
37.75,2.25
38,2
38.25,1.75
38.5,1.5
38.75,1.25
39,1
39.25,0.75
39.5,0.5
39.75,0.25
40,0
40.25,0
40.5,0
40.75,0
41,0
41.25,0
41.5,0
41.75,0
42,0
42.25,0
42.5,0
42.75,0
43,0
43.25,0
43.5,0
43.75,0
44,0
44.25,0
44.5,0
44.75,0
45,0
45.25,0
45.5,0
45.75,0
46,0
46.25,0
46.5,0
46.75,0
47,0
47.25,0
47.5,0
47.75,0
48,0
48.25,0
48.5,0
48.75,0
49,0
49.25,0
49.5,0
49.75,0
50,0
50.25,0
50.5,0
50.75,0
51,0
51.25,0
51.5,0
51.75,0
52,0
52.25,0
52.5,0
52.75,0
53,0
53.25,0
53.5,0
53.75,0
54,0
54.25,0
54.5,0
54.75,0
55,0
55.25,0
55.5,0
55.75,0
56,0
56.25,0
56.5,0
56.75,0
57,0
57.25,0
57.5,0
57.75,0
58,0
58.25,0
58.5,0
58.75,0
59,0
59.25,0
59.5,0
59.75,0
60,0
60,0
60.25,0.25
60.5,0.5
60.75,0.75
61,1
61.25,1.25
61.5,1.5
61.75,1.75
62,2
62.25,2.25
62.5,2.5
62.75,2.75
63,3
63.25,3.25
63.5,3.5
63.75,3.75
64,4
64.25,4.16666666666667
64.5,4.16666666666667
64.75,4.16666666666667
65,4.16666666666667
65.25,4.16666666666667
65.5,4.16666666666667
65.75,4.16666666666667
66,4.16666666666667
66.25,4.16666666666667
66.5,4.16666666666667
66.75,4.16666666666667
67,4.16666666666667
67.25,4.16666666666667
67.5,4.16666666666667
67.75,4.16666666666667
68,4.16666666666667
68.25,4.16666666666667
68.5,4.16666666666667
68.75,4.16666666666667
69,4.16666666666667
69.25,4.16666666666667
69.5,4.16666666666667
69.75,4.16666666666667
70,4.16666666666667
70.25,4.16666666666667
70.5,4.16666666666667
70.75,4.16666666666667
71,4.16666666666667
71.25,4.16666666666667
71.5,4.16666666666667
71.75,4.16666666666667
72,4.16666666666667
72.25,4.16666666666667
72.5,4.16666666666667
72.75,4.16666666666667
73,4.16666666666667
73.25,4.16666666666667
73.5,4.16666666666667
73.75,4.16666666666667
74,4.16666666666667
74.25,4.16666666666667
74.5,4.16666666666667
74.75,4.16666666666667
75,4.16666666666667
75.25,4.16666666666667
75.5,4.16666666666667
75.75,4.16666666666667
76,4.16666666666667
76.25,4.16666666666667
76.5,4.16666666666667
76.75,4.16666666666667
77,4.16666666666667
77.25,4.16666666666667
77.5,4.16666666666667
77.75,4.16666666666667
78,4.16666666666667
78.25,4.16666666666667
78.5,4.16666666666667
78.75,4.16666666666667
79,4.16666666666667
79.25,4.16666666666667
79.5,4.16666666666667
79.75,4.16666666666667
80,4.16666666666667
80.25,4.16666666666667
80.5,4.16666666666667
80.75,4.16666666666667
81,4.16666666666667
81.25,4.16666666666667
81.5,4.16666666666667
81.75,4.16666666666667
82,4.16666666666667
82.25,4.16666666666667
82.5,4.16666666666667
82.75,4.16666666666667
83,4.16666666666667
83.25,4.16666666666667
83.5,4.16666666666667
83.75,4.16666666666667
84,4.16666666666667
84.25,4.16666666666667
84.5,4.16666666666667
84.75,4.16666666666667
85,4.16666666666667
85.25,4.16666666666667
85.5,4.16666666666667
85.75,4.16666666666667
86,4
86.25,3.75
86.5,3.5
86.75,3.25
87,3
87.25,2.75
87.5,2.5
87.75,2.25
88,2
88.25,1.75
88.5,1.5
88.75,1.25
89,1
89.25,0.75
89.5,0.5
89.75,0.25
90,0
90.25,0
90.5,0
90.75,0
91,0
91.25,0
91.5,0
91.75,0
92,0
92.25,0
92.5,0
92.75,0
93,0
93.25,0
93.5,0
93.75,0
94,0
94.25,0
94.5,0
94.75,0
95,0
